state,x,y
Ilocos Norte,-27.0,474.0
Apayao,13.0,469.0
Cagayan,58.0,449.0
Abra,-14.0,429.0
Kalinga,22.0,418.0
Isabela,72.0,383.0
Ilocos Sur,-48.0,399.0
Mountain Province,5.0,391.0
La Union,-59.0,358.0
Benguet,-22.0,345.0
Ifugao,8.0,371.0
Quirino,45.0,328.0
Nueva Vizcaya,6.0,329.0
Aurora,43.0,289.0
Nueva Ecija,0.0,274.0
Pangasinan,-77.0,314.0
Tarlac,-39.0,268.0
Zambales,-76.0,241.0
Bataan,-58.0,197.0
Pampanga,-30.0,237.0
Bulacan,6.0,230.0
Rizel,19.0,206.0
Cavite,-14.0,179.0
Laguna,26.0,173.0
Batangas,0.0,146.0
Quezon,62.0,152.0
Camarines Norte,120.0,188.0
Marinduque,67.0,108.0
Occidental Mindoro,-25.0,83.0
Oriental Mindoro,32.0,72.0
Romblon,89.0,40.0
Camarines Sur,159.0,134.0
Albay,186.0,101.0
Catanduanes,241.0,141.0
Sorsogon,213.0,76.0
Masbate,193.0,19.0
Northern Samar,278.0,40.0
Samar,286.0,-2.0
Eastern Samar,339.0,-46.0
Biliran,252.0,-27.0
Leyte,278.0,-73.0
Southern Leyte,300.0,-114.0
Bohol,237.0,-160.0
Cebu,207.0,-121.0
Negros Oriental,146.0,-194.0
Siquijor,195.0,-210.0
Negros Occidental,114.0,-135.0
Gijimaras,116.0,-107.0
IloIlo,111.0,-70.0
Capiz,125.0,-39.0
Aklan,93.0,-19.0
Antique,68.0,-69.0
Palawan,-193.0,-175.0
Dinagat Islands,343.0,-134.0
Surigad Del Norte,364.0,-176.0
Surigao Del Sur,379.0,-214.0
Agusan Del Norte,333.0,-219.0
Agusan Del Sur,352.0,-268.0
Camiguin,277.0,-207.0
Misamis Oriental,277.0,-239.0
Bukidnon,296.0,-294.0
Davao Del Norte,348.0,-322.0
Compostela Valley,394.0,-318.0
Davao Oriental,403.0,-370.0
Davao Del Sur,334.0,-377.0
Davao Occidental,347.0,-431.0
Cotabato,284.0,-353.0
South Cotabato,290.0,-423.0
Sarangani,296.0,-459.0
Sultan Kudarat,241.0,-407.0
Maguindanao,238.0,-371.0
Lanao Del Sur,244.0,-307.0
Lanao Del Norte,222.0,-287.0
Zamboanga Del Sur,170.0,-309.0
Zamboanga Del Norte,108.0,-278.0
Misamis Occidental,201.0,-243.0
Zamboanga City,85.0,-364.0
Basilan,76.0,-411.0
Sulu,6.0,-454.0
